Age,Embarked,Fare,PassengerId,Pclass,Sex,Survived,Title,Family_size
22,S,7.25,1,3,male,0,Mr,Small
38,C,71.2833,2,1,female,1,Mrs,Small
26,S,7.925,3,3,female,1,Miss,Alone
35,S,53.1,4,1,female,1,Mrs,Small
35,S,8.05,5,3,male,0,Mr,Alone
25,Q,8.4583,6,3,male,0,Mr,Alone
54,S,51.8625,7,1,male,0,Mr,Alone
2,S,21.075,8,3,male,0,Master,Large
27,S,11.1333,9,3,female,1,Mrs,Small
14,C,30.0708,10,2,female,1,Mrs,Small
4,S,16.7,11,3,female,1,Miss,Small
58,S,26.55,12,1,female,1,Miss,Alone
20,S,8.05,13,3,male,0,Mr,Alone
39,S,31.275,14,3,male,0,Mr,Large
14,S,7.8542,15,3,female,0,Miss,Alone
55,S,16.0,16,2,female,1,Mrs,Alone
2,Q,29.125,17,3,male,0,Master,Large
29,S,13.0,18,2,male,1,Mr,Alone
31,S,18.0,19,3,female,0,Mrs,Small
22,C,7.225,20,3,female,1,Mrs,Alone
35,S,26.0,21,2,male,0,Mr,Alone
34,S,13.0,22,2,male,1,Mr,Alone
15,Q,8.0292,23,3,female,1,Miss,Alone
28,S,35.5,24,1,male,1,Mr,Alone
8,S,21.075,25,3,female,0,Miss,Large
38,S,31.3875,26,3,female,1,Mrs,Large
25,C,7.225,27,3,male,0,Mr,Alone
19,S,263.0,28,1,male,0,Mr,Large
22,Q,7.8792,29,3,female,1,Miss,Alone
25,S,7.8958,30,3,male,0,Mr,Alone
40,C,27.7208,31,1,male,0,Rare,Alone
36,C,146.5208,32,1,female,1,Mrs,Small
22,Q,7.75,33,3,female,1,Miss,Alone
66,S,10.5,34,2,male,0,Mr,Alone
28,C,82.1708,35,1,male,0,Mr,Small
42,S,52.0,36,1,male,0,Mr,Small
25,C,7.2292,37,3,male,1,Mr,Alone
21,S,8.05,38,3,male,0,Mr,Alone
18,S,18.0,39,3,female,0,Miss,Small
14,C,11.2417,40,3,female,1,Miss,Small
40,S,9.475,41,3,female,0,Mrs,Small
27,S,21.0,42,2,female,0,Mrs,Small
25,C,7.8958,43,3,male,0,Mr,Alone
3,C,41.5792,44,2,female,1,Miss,Large
19,Q,7.8792,45,3,female,1,Miss,Alone
25,S,8.05,46,3,male,0,Mr,Alone
25,Q,15.5,47,3,male,0,Mr,Small
22,Q,7.75,48,3,female,1,Miss,Alone
25,C,21.6792,49,3,male,0,Mr,Small
18,S,17.8,50,3,female,0,Mrs,Small
7,S,39.6875,51,3,male,0,Master,Large
21,S,7.8,52,3,male,0,Mr,Alone
49,C,76.7292,53,1,female,1,Mrs,Small
29,S,26.0,54,2,female,1,Mrs,Small
65,C,61.9792,55,1,male,0,Mr,Small
42,S,35.5,56,1,male,1,Mr,Alone
21,S,10.5,57,2,female,1,Miss,Alone
28,C,7.2292,58,3,male,0,Mr,Alone
5,S,27.75,59,2,female,1,Miss,Large
11,S,46.9,60,3,male,0,Master,Large
22,C,7.2292,61,3,male,0,Mr,Alone
38,S,80.0,62,1,female,1,Miss,Alone
45,S,83.475,63,1,male,0,Mr,Small
4,S,27.9,64,3,male,0,Master,Large
42,C,27.7208,65,1,male,0,Mr,Alone
25,C,15.2458,66,3,male,1,Master,Small
29,S,10.5,67,2,female,1,Mrs,Alone
19,S,8.1583,68,3,male,0,Mr,Alone
17,S,7.925,69,3,female,1,Miss,Large
26,S,8.6625,70,3,male,0,Mr,Small
32,S,10.5,71,2,male,0,Mr,Alone
16,S,46.9,72,3,female,0,Miss,Large
21,S,73.5,73,2,male,0,Mr,Alone
26,C,14.4542,74,3,male,0,Mr,Small
32,S,56.4958,75,3,male,1,Mr,Alone
25,S,7.65,76,3,male,0,Mr,Alone
25,S,7.8958,77,3,male,0,Mr,Alone
25,S,8.05,78,3,male,0,Mr,Alone
0,S,29.0,79,2,male,1,Master,Small
30,S,12.475,80,3,female,1,Miss,Alone
22,S,9.0,81,3,male,0,Mr,Alone
29,S,9.5,82,3,male,1,Mr,Alone
22,Q,7.7875,83,3,female,1,Miss,Alone
28,S,47.1,84,1,male,0,Mr,Alone
17,S,10.5,85,2,female,1,Miss,Alone
33,S,15.85,86,3,female,1,Mrs,Large
16,S,34.375,87,3,male,0,Mr,Large
25,S,8.05,88,3,male,0,Mr,Alone
23,S,263.0,89,1,female,1,Miss,Large
24,S,8.05,90,3,male,0,Mr,Alone
29,S,8.05,91,3,male,0,Mr,Alone
20,S,7.8542,92,3,male,0,Mr,Alone
46,S,61.175,93,1,male,0,Mr,Small
26,S,20.575,94,3,male,0,Mr,Large
59,S,7.25,95,3,male,0,Mr,Alone
25,S,8.05,96,3,male,0,Mr,Alone
71,C,34.6542,97,1,male,0,Mr,Alone
23,C,63.3583,98,1,male,1,Mr,Small
34,S,23.0,99,2,female,1,Mrs,Small
34,S,26.0,100,2,male,0,Mr,Small
28,S,7.8958,101,3,female,0,Miss,Alone
25,S,7.8958,102,3,male,0,Mr,Alone
21,S,77.2875,103,1,male,0,Mr,Small
33,S,8.6542,104,3,male,0,Mr,Alone
37,S,7.925,105,3,male,0,Mr,Small
28,S,7.8958,106,3,male,0,Mr,Alone
21,S,7.65,107,3,female,1,Miss,Alone
25,S,7.775,108,3,male,1,Mr,Alone
38,S,7.8958,109,3,male,0,Mr,Alone
22,Q,24.15,110,3,female,1,Miss,Small
47,S,52.0,111,1,male,0,Mr,Alone
14,C,14.4542,112,3,female,0,Miss,Small
22,S,8.05,113,3,male,0,Mr,Alone
20,S,9.825,114,3,female,0,Miss,Small
17,C,14.4583,115,3,female,0,Miss,Alone
21,S,7.925,116,3,male,0,Mr,Alone
70,Q,7.75,117,3,male,0,Mr,Alone
29,S,21.0,118,2,male,0,Mr,Small
24,C,247.5208,119,1,male,0,Mr,Small
2,S,31.275,120,3,female,0,Miss,Large
21,S,73.5,121,2,male,0,Mr,Small
25,S,8.05,122,3,male,0,Mr,Alone
32,C,30.0708,123,2,male,0,Mr,Small
32,S,13.0,124,2,female,1,Miss,Alone
54,S,77.2875,125,1,male,0,Mr,Small
12,C,11.2417,126,3,male,1,Master,Small
25,Q,7.75,127,3,male,0,Mr,Alone
24,S,7.1417,128,3,male,1,Mr,Alone
22,C,22.3583,129,3,female,1,Miss,Small
45,S,6.975,130,3,male,0,Mr,Alone
33,C,7.8958,131,3,male,0,Mr,Alone
20,S,7.05,132,3,male,0,Mr,Alone
47,S,14.5,133,3,female,0,Mrs,Small
29,S,26.0,134,2,female,1,Mrs,Small
25,S,13.0,135,2,male,0,Mr,Alone
23,C,15.0458,136,2,male,0,Mr,Alone
19,S,26.2833,137,1,female,1,Miss,Small
37,S,53.1,138,1,male,0,Mr,Small
16,S,9.2167,139,3,male,0,Mr,Alone
24,C,79.2,140,1,male,0,Mr,Alone
22,C,15.2458,141,3,female,0,Mrs,Small
22,S,7.75,142,3,female,1,Miss,Alone
24,S,15.85,143,3,female,1,Mrs,Small
19,Q,6.75,144,3,male,0,Mr,Alone
18,S,11.5,145,2,male,0,Mr,Alone
19,S,36.75,146,2,male,0,Mr,Small
27,S,7.7958,147,3,male,1,Mr,Alone
9,S,34.375,148,3,female,0,Miss,Large
36,S,26.0,149,2,male,0,Mr,Small
42,S,13.0,150,2,male,0,Rare,Alone
51,S,12.525,151,2,male,0,Rare,Alone
22,S,66.6,152,1,female,1,Mrs,Small
55,S,8.05,153,3,male,0,Mr,Alone
40,S,14.5,154,3,male,0,Mr,Small
25,S,7.3125,155,3,male,0,Mr,Alone
51,C,61.3792,156,1,male,0,Mr,Small
16,Q,7.7333,157,3,female,1,Miss,Alone
30,S,8.05,158,3,male,0,Mr,Alone
25,S,8.6625,159,3,male,0,Mr,Alone
25,S,69.55,160,3,male,0,Master,Large
44,S,16.1,161,3,male,0,Mr,Small
40,S,15.75,162,2,female,1,Mrs,Alone
26,S,7.775,163,3,male,0,Mr,Alone
17,S,8.6625,164,3,male,0,Mr,Alone
1,S,39.6875,165,3,male,0,Master,Large
9,S,20.525,166,3,male,1,Master,Small
36,S,55.0,167,1,female,1,Mrs,Small
45,S,27.9,168,3,female,0,Mrs,Large
42,S,25.925,169,1,male,0,Mr,Alone
28,S,56.4958,170,3,male,0,Mr,Alone
61,S,33.5,171,1,male,0,Mr,Alone
4,Q,29.125,172,3,male,0,Master,Large
1,S,11.1333,173,3,female,1,Miss,Small
21,S,7.925,174,3,male,0,Mr,Alone
56,C,30.6958,175,1,male,0,Mr,Alone
18,S,7.8542,176,3,male,0,Mr,Small
25,S,25.4667,177,3,male,0,Master,Large
50,C,28.7125,178,1,female,0,Miss,Alone
30,S,13.0,179,2,male,0,Mr,Alone
36,S,0.0,180,3,male,0,Mr,Alone
22,S,69.55,181,3,female,0,Miss,Large
29,C,15.05,182,2,male,0,Mr,Alone
9,S,31.3875,183,3,male,0,Master,Large
1,S,39.0,184,2,male,1,Master,Large
4,S,22.025,185,3,female,1,Miss,Small
42,S,50.0,186,1,male,0,Mr,Alone
22,Q,15.5,187,3,female,1,Mrs,Small
45,S,26.55,188,1,male,1,Mr,Alone
40,Q,15.5,189,3,male,0,Mr,Small
36,S,7.8958,190,3,male,0,Mr,Alone
32,S,13.0,191,2,female,1,Mrs,Alone
19,S,13.0,192,2,male,0,Mr,Alone
19,S,7.8542,193,3,female,1,Miss,Small
3,S,26.0,194,2,male,1,Master,Small
44,C,27.7208,195,1,female,1,Mrs,Alone
58,C,146.5208,196,1,female,1,Miss,Alone
25,Q,7.75,197,3,male,0,Mr,Alone
42,S,8.4042,198,3,male,0,Mr,Small
22,Q,7.75,199,3,female,1,Miss,Alone
24,S,13.0,200,2,female,0,Miss,Alone
28,S,9.5,201,3,male,0,Mr,Alone
25,S,69.55,202,3,male,0,Mr,Large
34,S,6.4958,203,3,male,0,Mr,Alone
45,C,7.225,204,3,male,0,Mr,Alone
18,S,8.05,205,3,male,1,Mr,Alone
2,S,10.4625,206,3,female,0,Miss,Small
32,S,15.85,207,3,male,0,Mr,Small
26,C,18.7875,208,3,male,1,Mr,Alone
16,Q,7.75,209,3,female,1,Miss,Alone
40,C,31.0,210,1,male,1,Mr,Alone
24,S,7.05,211,3,male,0,Mr,Alone
35,S,21.0,212,2,female,1,Miss,Alone
22,S,7.25,213,3,male,0,Mr,Alone
30,S,13.0,214,2,male,0,Mr,Alone
25,Q,7.75,215,3,male,0,Mr,Small
31,C,113.275,216,1,female,1,Miss,Small
27,S,7.925,217,3,female,1,Miss,Alone
42,S,27.0,218,2,male,0,Mr,Small
32,C,76.2917,219,1,female,1,Miss,Alone
30,S,10.5,220,2,male,0,Mr,Alone
16,S,8.05,221,3,male,1,Mr,Alone
27,S,13.0,222,2,male,0,Mr,Alone
51,S,8.05,223,3,male,0,Mr,Alone
25,S,7.8958,224,3,male,0,Mr,Alone
38,S,90.0,225,1,male,1,Mr,Small
22,S,9.35,226,3,male,0,Mr,Alone
19,S,10.5,227,2,male,1,Mr,Alone
20,S,7.25,228,3,male,0,Mr,Alone
18,S,13.0,229,2,male,0,Mr,Alone
22,S,25.4667,230,3,female,0,Miss,Large
35,S,83.475,231,1,female,1,Mrs,Small
29,S,7.775,232,3,male,0,Mr,Alone
59,S,13.5,233,2,male,0,Mr,Alone
5,S,31.3875,234,3,female,1,Miss,Large
24,S,10.5,235,2,male,0,Mr,Alone
22,S,7.55,236,3,female,0,Miss,Alone
44,S,26.0,237,2,male,0,Mr,Small
8,S,26.25,238,2,female,1,Miss,Small
19,S,10.5,239,2,male,0,Mr,Alone
33,S,12.275,240,2,male,0,Mr,Alone
22,C,14.4542,241,3,female,0,Miss,Small
22,Q,15.5,242,3,female,1,Miss,Small
29,S,10.5,243,2,male,0,Mr,Alone
22,S,7.125,244,3,male,0,Mr,Alone
30,C,7.225,245,3,male,0,Mr,Alone
44,Q,90.0,246,1,male,0,Rare,Small
25,S,7.775,247,3,female,0,Miss,Alone
24,S,14.5,248,2,female,1,Mrs,Small
37,S,52.5542,249,1,male,1,Mr,Small
54,S,26.0,250,2,male,0,Rare,Small
25,S,7.25,251,3,male,0,Mr,Alone
29,S,10.4625,252,3,female,0,Mrs,Small
62,S,26.55,253,1,male,0,Mr,Alone
30,S,16.1,254,3,male,0,Mr,Small
41,S,20.2125,255,3,female,0,Mrs,Small
29,C,15.2458,256,3,female,1,Mrs,Small
36,C,79.2,257,1,female,1,Mrs,Alone
30,S,86.5,258,1,female,1,Miss,Alone
35,C,512.3292,259,1,female,1,Miss,Alone
50,S,26.0,260,2,female,1,Mrs,Small
25,Q,7.75,261,3,male,0,Mr,Alone
3,S,31.3875,262,3,male,1,Master,Large
52,S,79.65,263,1,male,0,Mr,Small
40,S,0.0,264,1,male,0,Mr,Alone
22,Q,7.75,265,3,female,0,Miss,Alone
36,S,10.5,266,2,male,0,Mr,Alone
16,S,39.6875,267,3,male,0,Mr,Large
25,S,7.775,268,3,male,1,Mr,Small
58,S,153.4625,269,1,female,1,Mrs,Small
35,S,135.6333,270,1,female,1,Miss,Alone
42,S,31.0,271,1,male,0,Mr,Alone
25,S,0.0,272,3,male,1,Mr,Alone
41,S,19.5,273,2,female,1,Mrs,Small
37,C,29.7,274,1,male,0,Mr,Small
22,Q,7.75,275,3,female,1,Miss,Alone
63,S,77.9583,276,1,female,1,Miss,Small
45,S,7.75,277,3,female,0,Miss,Alone
29,S,0.0,278,2,male,0,Mr,Alone
7,Q,29.125,279,3,male,0,Master,Large
35,S,20.25,280,3,female,1,Mrs,Small
65,Q,7.75,281,3,male,0,Mr,Alone
28,S,7.8542,282,3,male,0,Mr,Alone
16,S,9.5,283,3,male,0,Mr,Alone
19,S,8.05,284,3,male,1,Mr,Alone
42,S,26.0,285,1,male,0,Mr,Alone
33,C,8.6625,286,3,male,0,Mr,Alone
30,S,9.5,287,3,male,1,Mr,Alone
22,S,7.8958,288,3,male,0,Mr,Alone
42,S,13.0,289,2,male,1,Mr,Alone
22,Q,7.75,290,3,female,1,Miss,Alone
26,S,78.85,291,1,female,1,Miss,Alone
19,C,91.0792,292,1,female,1,Mrs,Small
36,C,12.875,293,2,male,0,Mr,Alone
24,S,8.85,294,3,female,0,Miss,Alone
24,S,7.8958,295,3,male,0,Mr,Alone
42,C,27.7208,296,1,male,0,Mr,Alone
23,C,7.2292,297,3,male,0,Mr,Alone
2,S,151.55,298,1,female,0,Miss,Large
42,S,30.5,299,1,male,1,Mr,Alone
50,C,247.5208,300,1,female,1,Mrs,Small
22,Q,7.75,301,3,female,1,Miss,Alone
25,Q,23.25,302,3,male,1,Mr,Small
19,S,0.0,303,3,male,0,Mr,Alone
28,Q,12.35,304,2,female,1,Miss,Alone
25,S,8.05,305,3,male,0,Mr,Alone
0,S,151.55,306,1,male,1,Master,Large
36,C,110.8833,307,1,female,1,Miss,Alone
17,C,108.9,308,1,female,1,Mrs,Small
30,C,24.0,309,2,male,0,Mr,Small
30,C,56.9292,310,1,female,1,Miss,Alone
24,C,83.1583,311,1,female,1,Miss,Alone
18,C,262.375,312,1,female,1,Miss,Large
26,S,26.0,313,2,female,0,Mrs,Small
28,S,7.8958,314,3,male,0,Mr,Alone
43,S,26.25,315,2,male,0,Mr,Small
26,S,7.8542,316,3,female,1,Miss,Alone
24,S,26.0,317,2,female,1,Mrs,Small
54,S,14.0,318,2,male,0,Rare,Alone
31,S,164.8667,319,1,female,1,Miss,Small
40,C,134.5,320,1,female,1,Mrs,Small
22,S,7.25,321,3,male,0,Mr,Alone
27,S,7.8958,322,3,male,0,Mr,Alone
30,Q,12.35,323,2,female,1,Miss,Alone
22,S,29.0,324,2,female,1,Mrs,Small
25,S,69.55,325,3,male,0,Mr,Large
36,C,135.6333,326,1,female,1,Miss,Alone
61,S,6.2375,327,3,male,0,Mr,Alone
36,S,13.0,328,2,female,1,Mrs,Alone
31,S,20.525,329,3,female,1,Mrs,Small
16,C,57.9792,330,1,female,1,Miss,Small
22,Q,23.25,331,3,female,1,Miss,Small
45,S,28.5,332,1,male,0,Mr,Alone
38,S,153.4625,333,1,male,0,Mr,Small
16,S,18.0,334,3,male,0,Mr,Small
36,S,133.65,335,1,female,1,Mrs,Small
25,S,7.8958,336,3,male,0,Mr,Alone
29,S,66.6,337,1,male,0,Mr,Small
41,C,134.5,338,1,female,1,Miss,Alone
45,S,8.05,339,3,male,1,Mr,Alone
45,S,35.5,340,1,male,0,Mr,Alone
2,S,26.0,341,2,male,1,Master,Small
24,S,263.0,342,1,female,1,Miss,Large
28,S,13.0,343,2,male,0,Mr,Alone
25,S,13.0,344,2,male,0,Mr,Alone
36,S,13.0,345,2,male,0,Mr,Alone
24,S,13.0,346,2,female,1,Miss,Alone
40,S,13.0,347,2,female,1,Miss,Alone
22,S,16.1,348,3,female,1,Mrs,Small
3,S,15.9,349,3,male,1,Master,Small
42,S,8.6625,350,3,male,0,Mr,Alone
23,S,9.225,351,3,male,0,Mr,Alone
42,S,35.0,352,1,male,0,Mr,Alone
15,C,7.2292,353,3,male,0,Mr,Small
25,S,17.8,354,3,male,0,Mr,Small
25,C,7.225,355,3,male,0,Mr,Alone
28,S,9.5,356,3,male,0,Mr,Alone
22,S,55.0,357,1,female,1,Miss,Small
38,S,13.0,358,2,female,0,Miss,Alone
22,Q,7.8792,359,3,female,1,Miss,Alone
22,Q,7.8792,360,3,female,1,Miss,Alone
40,S,27.9,361,3,male,0,Mr,Large
29,C,27.7208,362,2,male,0,Mr,Small
45,C,14.4542,363,3,female,0,Mrs,Small
35,S,7.05,364,3,male,0,Mr,Alone
25,Q,15.5,365,3,male,0,Mr,Small
30,S,7.25,366,3,male,0,Mr,Alone
60,C,75.25,367,1,female,1,Mrs,Small
22,C,7.2292,368,3,female,1,Mrs,Alone
22,Q,7.75,369,3,female,1,Miss,Alone
24,C,69.3,370,1,female,1,Mrs,Alone
25,C,55.4417,371,1,male,1,Mr,Small
18,S,6.4958,372,3,male,0,Mr,Small
19,S,8.05,373,3,male,0,Mr,Alone
22,C,135.6333,374,1,male,0,Mr,Alone
3,S,21.075,375,3,female,0,Miss,Large
36,C,82.1708,376,1,female,1,Mrs,Small
22,S,7.25,377,3,female,1,Miss,Alone
27,C,211.5,378,1,male,0,Mr,Small
20,C,4.0125,379,3,male,0,Mr,Alone
19,S,7.775,380,3,male,0,Mr,Alone
42,C,227.525,381,1,female,1,Miss,Alone
1,C,15.7417,382,3,female,1,Miss,Small
32,S,7.925,383,3,male,0,Mr,Alone
35,S,52.0,384,1,female,1,Mrs,Small
25,S,7.8958,385,3,male,0,Mr,Alone
18,S,73.5,386,2,male,0,Mr,Alone
1,S,46.9,387,3,male,0,Master,Large
36,S,13.0,388,2,female,1,Miss,Alone
25,Q,7.7292,389,3,male,0,Mr,Alone
17,C,12.0,390,2,female,1,Miss,Alone
36,S,120.0,391,1,male,1,Mr,Large
21,S,7.7958,392,3,male,1,Mr,Alone
28,S,7.925,393,3,male,0,Mr,Small
23,C,113.275,394,1,female,1,Miss,Small
24,S,16.7,395,3,female,1,Mrs,Small
22,S,7.7958,396,3,male,0,Mr,Alone
31,S,7.8542,397,3,female,0,Miss,Alone
46,S,26.0,398,2,male,0,Mr,Alone
23,S,10.5,399,2,male,0,Rare,Alone
28,S,12.65,400,2,female,1,Mrs,Alone
39,S,7.925,401,3,male,1,Mr,Alone
26,S,8.05,402,3,male,0,Mr,Alone
21,S,9.825,403,3,female,0,Miss,Small
28,S,15.85,404,3,male,0,Mr,Small
20,S,8.6625,405,3,female,0,Miss,Alone
34,S,21.0,406,2,male,0,Mr,Small
51,S,7.75,407,3,male,0,Mr,Alone
3,S,18.75,408,2,male,1,Master,Small
21,S,7.775,409,3,male,0,Mr,Alone
22,S,25.4667,410,3,female,0,Miss,Large
25,S,7.8958,411,3,male,0,Mr,Alone
25,Q,6.8583,412,3,male,0,Mr,Alone
33,Q,90.0,413,1,female,1,Miss,Small
29,S,0.0,414,2,male,0,Mr,Alone
44,S,7.925,415,3,male,1,Mr,Alone
22,S,8.05,416,3,female,0,Mrs,Alone
34,S,32.5,417,2,female,1,Mrs,Small
18,S,13.0,418,2,female,1,Miss,Small
30,S,13.0,419,2,male,0,Mr,Alone
10,S,24.15,420,3,female,0,Miss,Small
25,C,7.8958,421,3,male,0,Mr,Alone
21,Q,7.7333,422,3,male,0,Mr,Alone
29,S,7.875,423,3,male,0,Mr,Alone
28,S,14.4,424,3,female,0,Mrs,Small
18,S,20.2125,425,3,male,0,Mr,Small
25,S,7.25,426,3,male,0,Mr,Alone
28,S,26.0,427,2,female,1,Mrs,Small
19,S,26.0,428,2,female,1,Miss,Alone
25,Q,7.75,429,3,male,0,Mr,Alone
32,S,8.05,430,3,male,1,Mr,Alone
28,S,26.55,431,1,male,1,Mr,Alone
22,S,16.1,432,3,female,1,Mrs,Small
42,S,26.0,433,2,female,1,Mrs,Small
17,S,7.125,434,3,male,0,Mr,Alone
50,S,55.9,435,1,male,0,Mr,Small
14,S,120.0,436,1,female,1,Miss,Large
21,S,34.375,437,3,female,0,Miss,Large
24,S,18.75,438,2,female,1,Mrs,Large
64,S,263.0,439,1,male,0,Mr,Large
31,S,10.5,440,2,male,0,Mr,Alone
45,S,26.25,441,2,female,1,Mrs,Small
20,S,9.5,442,3,male,0,Mr,Alone
25,S,7.775,443,3,male,0,Mr,Small
28,S,13.0,444,2,female,1,Miss,Alone
